Population 16;Logic;Fitness;Sum
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=8, state='GGrrrrrr', minDur=6, maxDur=69), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=59, state='rrrrrrGG', minDur=20, maxDur=96), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=30, state='rrrGGrrr', minDur=21, maxDur=97), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=24, state='GrrrrrGGr', minDur=20, maxDur=54), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=23, state='GGrrrrrrr', minDur=6, maxDur=34), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=38, state='rrrGGrrrr', minDur=33, maxDur=91), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=28, state='GGgrrrGGgrrr', minDur=25, maxDur=36), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=5, state='rrrGGgrrrGGg', minDur=4, maxDur=85), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=36, state='rrrGGGrrrrrr', minDur=25, maxDur=61), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=16, state='GGGrrrrrrrrr', minDur=8, maxDur=79), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=78, state='grrrrrrrrGGG', minDur=16, maxDur=81), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=17, state='rrrrrrGGGrrr', minDur=13, maxDur=51), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'429723386': 20.15, 'cluster_2556814094_429774589': 23.17, '419734825': 27.34, 'cluster_259602058_2924318333': 59.4};130.06
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=77, state='GGrrrrrr', minDur=37, maxDur=92), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrrrrrGG', minDur=25, maxDur=72), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=54, state='rrrGGrrr', minDur=25, maxDur=73), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=67, state='GrrrrrGGr', minDur=40, maxDur=76), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=78, state='GGrrrrrrr', minDur=11, maxDur=82), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=15, state='rrrGGrrrr', minDur=13, maxDur=25), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=28, state='GGgrrrGGgrrr', minDur=7, maxDur=39), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=33, state='rrrGGgrrrGGg', minDur=26, maxDur=57), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=66, state='rrrGGGrrrrrr', minDur=24, maxDur=67), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=10, state='GGGrrrrrrrrr', minDur=4, maxDur=65), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=51, state='grrrrrrrrGGG', minDur=41, maxDur=87), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=19, state='rrrrrrGGGrrr', minDur=5, maxDur=52), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'429723386': 20.07, '419734825': 47.35, 'cluster_259602058_2924318333': 89.16, 'cluster_2556814094_429774589': 11.48};168.05999999999997
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=55, state='GGrrrrrr', minDur=30, maxDur=79), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=70, state='rrrrrrGG', minDur=17, maxDur=82), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=71, state='rrrGGrrr', minDur=31, maxDur=93), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=69, state='GrrrrrGGr', minDur=60, maxDur=85), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=31, state='GGrrrrrrr', minDur=13, maxDur=65), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=28, state='rrrGGrrrr', minDur=9, maxDur=86), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=25, state='GGgrrrGGgrrr', minDur=5, maxDur=58), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=50, state='rrrGGgrrrGGg', minDur=27, maxDur=61), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=9, state='rrrGGGrrrrrr', minDur=6, maxDur=91), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=26, state='GGGrrrrrrrrr', minDur=11, maxDur=30), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=19, state='grrrrrrrrGGG', minDur=7, maxDur=81), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=47, state='rrrrrrGGGrrr', minDur=31, maxDur=75), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'429723386': 32.28, '419734825': 41.15, 'cluster_259602058_2924318333': 70.39, 'cluster_2556814094_429774589': 16.85};160.67
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=74, state='GGrrrrrr', minDur=24, maxDur=92), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=77, state='rrrrrrGG', minDur=52, maxDur=94), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=29, state='rrrGGrrr', minDur=27, maxDur=91), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=68, state='GrrrrrGGr', minDur=27, maxDur=90), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=22, state='GGrrrrrrr', minDur=20, maxDur=44), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=66, state='rrrGGrrrr', minDur=47, maxDur=96), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=17, state='GGgrrrGGgrrr', minDur=15, maxDur=43), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=53, state='rrrGGgrrrGGg', minDur=29, maxDur=56), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=24, state='rrrGGGrrrrrr', minDur=16, maxDur=97), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=11, state='GGGrrrrrrrrr', minDur=8, maxDur=45), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=34, state='grrrrrrrrGGG', minDur=26, maxDur=91), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=34, state='rrrrrrGGGrrr', minDur=15, maxDur=37), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'429723386': 36.38, 'cluster_2556814094_429774589': 14.63, 'cluster_259602058_2924318333': 66.87, '419734825': 67.89};185.77
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=6, state='GGrrrrrr', minDur=3, maxDur=76), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=59, state='rrrrrrGG', minDur=22, maxDur=87), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=63, state='rrrGGrrr', minDur=13, maxDur=76), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=25, state='GrrrrrGGr', minDur=21, maxDur=80), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=60, state='GGrrrrrrr', minDur=43, maxDur=94), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=19, state='rrrGGrrrr', minDur=11, maxDur=52), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=31, state='GGgrrrGGgrrr', minDur=12, maxDur=40), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=44, state='rrrGGgrrrGGg', minDur=43, maxDur=61), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=27, state='rrrGGGrrrrrr', minDur=12, maxDur=63), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=19, state='GGGrrrrrrrrr', minDur=15, maxDur=39), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=68, state='grrrrrrrrGGG', minDur=25, maxDur=81), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=13, state='rrrrrrGGGrrr', minDur=7, maxDur=76), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_259602058_2924318333': 63.09, '419734825': 36.36, 'cluster_2556814094_429774589': 22.26, '429723386': 33.46};155.17000000000002
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=68, state='GGrrrrrr', minDur=41, maxDur=93), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=45, state='rrrrrrGG', minDur=42, maxDur=58), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=74, state='rrrGGrrr', minDur=16, maxDur=97), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=7, state='GrrrrrGGr', minDur=6, maxDur=12), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=35, state='GGrrrrrrr', minDur=22, maxDur=87), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=35, state='rrrGGrrrr', minDur=23, maxDur=67), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=77, state='GGgrrrGGgrrr', minDur=65, maxDur=98), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=18, state='rrrGGgrrrGGg', minDur=8, maxDur=39), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=15, state='rrrGGGrrrrrr', minDur=13, maxDur=59), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=6, state='GGGrrrrrrrrr', minDur=4, maxDur=72), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=43, state='grrrrrrrrGGG', minDur=11, maxDur=69), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=58, state='rrrrrrGGGrrr', minDur=19, maxDur=78), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 43.0, 'cluster_259602058_2924318333': 52.53, '429723386': 25.64, '419734825': 64.91};186.07999999999998
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=68, state='GGrrrrrr', minDur=45, maxDur=82), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=10, state='rrrrrrGG', minDur=3, maxDur=40), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=65, state='rrrGGrrr', minDur=3, maxDur=76), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=53, state='GrrrrrGGr', minDur=7, maxDur=83), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=37, state='GGrrrrrrr', minDur=5, maxDur=77), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=42, state='rrrGGrrrr', minDur=21, maxDur=94), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=64, state='GGgrrrGGgrrr', minDur=4, maxDur=80), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=34, state='rrrGGgrrrGGg', minDur=3, maxDur=40), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=49, state='rrrGGGrrrrrr', minDur=40, maxDur=77), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=5, state='GGGrrrrrrrrr', minDur=4, maxDur=16), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=27, state='grrrrrrrrGGG', minDur=11, maxDur=53), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=71, state='rrrrrrGGGrrr', minDur=43, maxDur=87), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'429723386': 18.53, 'cluster_2556814094_429774589': 11.47, '419734825': 69.38, 'cluster_259602058_2924318333': 148.05};247.43
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=13, state='GGrrrrrr', minDur=3, maxDur=62), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=24, state='rrrrrrGG', minDur=5, maxDur=51), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=42, state='rrrGGrrr', minDur=36, maxDur=89), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=18, state='GrrrrrGGr', minDur=9, maxDur=93), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=63, state='GGrrrrrrr', minDur=47, maxDur=73), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=9, state='rrrGGrrrr', minDur=5, maxDur=26), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=42, state='GGgrrrGGgrrr', minDur=21, maxDur=97), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=33, state='rrrGGgrrrGGg', minDur=10, maxDur=72), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=78, state='rrrGGGrrrrrr', minDur=34, maxDur=99), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=7, state='GGGrrrrrrrrr', minDur=3, maxDur=31), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=67, state='grrrrrrrrGGG', minDur=15, maxDur=78), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=23, state='rrrrrrGGGrrr', minDur=19, maxDur=78), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'419734825': 55.91, 'cluster_259602058_2924318333': 107.26, 'cluster_2556814094_429774589': 41.67, '429723386': 39.45};244.29000000000002
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=73, state='GGrrrrrr', minDur=27, maxDur=74), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=23, state='rrrrrrGG', minDur=4, maxDur=84), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=75, state='rrrGGrrr', minDur=51, maxDur=85), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=34, state='GrrrrrGGr', minDur=21, maxDur=42), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=10, state='GGrrrrrrr', minDur=5, maxDur=78), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=32, state='rrrGGrrrr', minDur=29, maxDur=33), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=5, state='GGgrrrGGgrrr', minDur=4, maxDur=37), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=17, state='rrrGGgrrrGGg', minDur=10, maxDur=93), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=55, state='rrrGGGrrrrrr', minDur=32, maxDur=97), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=20, state='GGGrrrrrrrrr', minDur=19, maxDur=34), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=30, state='grrrrrrrrGGG', minDur=14, maxDur=40), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=28, state='rrrrrrGGGrrr', minDur=24, maxDur=54), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'429723386': 18.35, 'cluster_259602058_2924318333': 100.84, 'cluster_2556814094_429774589': 16.76, '419734825': 61.93};197.88
0;[('419734825', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=46, state='GGrrrrrr', minDur=6, maxDur=96), Phase(duration=3.0, state='yyrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=12, state='rrrrrrGG', minDur=11, maxDur=94), Phase(duration=3.0, state='rrrrrryy', minDur=3.0, maxDur=3.0), Phase(duration=16, state='rrrGGrrr', minDur=13, maxDur=80), Phase(duration=3.0, state='rrryyrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('429723386', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=57, state='GrrrrrGGr', minDur=13, maxDur=94), Phase(duration=3.0, state='yrrrrryyr', minDur=3.0, maxDur=3.0), Phase(duration=56, state='GGrrrrrrr', minDur=43, maxDur=96), Phase(duration=3.0, state='yyrrrrrrr', minDur=3.0, maxDur=3.0), Phase(duration=58, state='rrrGGrrrr', minDur=30, maxDur=82), Phase(duration=3.0, state='rrryyrrrr', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_2556814094_429774589', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=43, state='GGgrrrGGgrrr', minDur=14, maxDur=94), Phase(duration=3.0, state='yyyrrryyyrrr', minDur=3.0, maxDur=3.0), Phase(duration=29, state='rrrGGgrrrGGg', minDur=28, maxDur=98), Phase(duration=3.0, state='rrryyyrrryyy', minDur=3.0, maxDur=3.0)), subParameter={'show-detectors': 'true'})), ('cluster_259602058_2924318333', Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=41, state='rrrGGGrrrrrr', minDur=38, maxDur=84), Phase(duration=5.0, state='rrryyyrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=49, state='GGGrrrrrrrrr', minDur=30, maxDur=63), Phase(duration=5.0, state='yyyrrrrrrrrr', minDur=5.0, maxDur=5.0), Phase(duration=68, state='grrrrrrrrGGG', minDur=19, maxDur=71), Phase(duration=5.0, state='rrrrrrrrrryy', minDur=5.0, maxDur=5.0), Phase(duration=62, state='rrrrrrGGGrrr', minDur=48, maxDur=78), Phase(duration=5.0, state='rrrrrryyyrrr', minDur=5.0, maxDur=5.0)), subParameter={'show-detectors': 'true'}))];{'cluster_2556814094_429774589': 25.19, 'cluster_259602058_2924318333': 158.27, '419734825': 20.67, '429723386': 33.12};237.25
