punkt,moto,auto,bus,ciez_solo,ciez_nacz,autobus
A,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 1]","[71, 45, 36, 42, 77, 251, 558, 759, 744, 670, 609, 594, 594, 591, 605, 621, 606, 583, 566, 492, 397, 298, 215, 134]","[8, 5, 4, 5, 9, 29, 64, 87, 85, 77, 70, 68, 68, 68, 69, 71, 69, 67, 65, 56, 45, 34, 25, 15]","[2, 1, 1, 1, 3, 8, 18, 25, 24, 22, 20, 20, 20, 19, 20, 20, 20, 19, 19, 16, 13, 10, 7, 4]","[10, 7, 5, 6, 11, 36, 80, 109, 107, 96, 88, 85, 85, 85, 87, 89, 87, 84, 81, 71, 57, 43, 31, 19]","[0, 0, 0, 0, 0, 2, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 1, 1]"
B,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0]","[43, 28, 22, 26, 47, 153, 340, 462, 453, 408, 371, 361, 361, 360, 368, 378, 369, 355, 345, 300, 242, 182, 131, 82]","[7, 5, 4, 4, 8, 26, 59, 80, 78, 71, 64, 63, 63, 62, 64, 65, 64, 61, 60, 52, 42, 31, 23, 14]","[2, 1, 1, 1, 2, 8, 17, 23, 22, 20, 18, 18, 18, 18, 18, 19, 18, 18, 17, 15, 12, 9, 7, 4]","[8, 5, 4, 5, 9, 29, 64, 88, 86, 77, 70, 69, 69, 68, 70, 72, 70, 67, 65, 57, 46, 34, 25, 15]","[0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
C,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[28, 18, 14, 17, 30, 99, 220, 299, 293, 264, 240, 234, 234, 233, 238, 245, 239, 230, 223, 194, 157, 118, 85, 53]","[4, 2, 2, 2, 4, 14, 31, 42, 41, 37, 33, 33, 33, 32, 33, 34, 33, 32, 31, 27, 22, 16, 12, 7]","[1, 1, 0, 1, 1, 3, 7, 10, 10, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 4, 3, 2]","[6, 4, 3, 4, 7, 22, 49, 66, 65, 59, 53, 52, 52, 52, 53, 54, 53, 51, 49, 43, 35, 26, 19, 12]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
D,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1]","[67, 43, 34, 40, 73, 239, 531, 723, 708, 638, 580, 565, 565, 563, 576, 591, 577, 555, 539, 469, 378, 284, 205, 128]","[9, 6, 5, 6, 10, 33, 74, 100, 98, 88, 80, 78, 78, 78, 80, 82, 80, 77, 75, 65, 52, 39, 28, 18]","[3, 2, 1, 2, 3, 10, 22, 30, 29, 26, 24, 23, 23, 23, 24, 24, 24, 23, 22, 19, 16, 12, 8, 5]","[16, 10, 8, 9, 17, 56, 124, 169, 166, 149, 135, 132, 132, 132, 135, 138, 135, 130, 126, 110, 88, 66, 48, 30]","[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
E,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1]","[56, 36, 28, 34, 61, 200, 444, 604, 592, 534, 485, 473, 473, 471, 482, 494, 483, 464, 451, 392, 316, 237, 171, 107]","[8, 5, 4, 5, 8, 27, 60, 81, 80, 72, 65, 64, 64, 63, 65, 66, 65, 62, 61, 53, 43, 32, 23, 14]","[2, 1, 1, 1, 2, 8, 18, 24, 24, 21, 19, 19, 19, 19, 19, 20, 19, 18, 18, 16, 13, 9, 7, 4]","[10, 7, 5, 6, 11, 37, 81, 111, 109, 98, 89, 87, 87, 86, 88, 91, 89, 85, 83, 72, 58, 44, 31, 20]","[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
F,"[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]","[40, 26, 20, 24, 44, 144, 319, 434, 426, 384, 348, 340, 340, 339, 346, 355, 347, 334, 324, 282, 227, 171, 123, 77]","[3, 2, 1, 2, 3, 10, 21, 29, 28, 25, 23, 22, 22, 22, 23, 24, 23, 22, 21, 19, 15, 11, 8, 5]","[2, 1, 1, 1, 2, 7, 15, 21, 20, 18, 17, 16, 16, 16, 16, 17, 16, 16, 15, 13, 11, 8, 6, 4]","[2, 2, 1, 1, 3, 9, 19, 26, 25, 23, 21, 20, 20, 20, 21, 21, 21, 20, 19, 17, 14, 10, 7, 5]","[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1]"
G,"[0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1]","[29, 18, 15, 17, 31, 102, 227, 309, 303, 273, 248, 242, 242, 241, 246, 253, 247, 237, 230, 200, 162, 121, 88, 54]","[4, 3, 2, 2, 4, 14, 32, 43, 43, 38, 35, 34, 34, 34, 35, 36, 35, 33, 32, 28, 23, 17, 12, 8]","[0, 0, 0, 0, 0, 2, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 1, 1]","[3, 2, 2, 2, 3, 11, 24, 33, 32, 29, 26, 26, 26, 26, 26, 27, 26, 25, 25, 21, 17, 13, 9, 6]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
H,"[0, 0, 0, 0, 0, 2, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 2, 1, 1]","[45, 29, 23, 27, 49, 161, 357, 485, 476, 429, 389, 380, 380, 378, 387, 397, 388, 373, 362, 315, 254, 191, 138, 86]","[4, 2, 2, 2, 4, 14, 30, 41, 40, 36, 33, 32, 32, 32, 33, 34, 33, 32, 31, 27, 21, 16, 12, 7]","[1, 1, 1, 1, 1, 4, 9, 12, 12, 11, 10, 10, 10, 10, 10, 10, 10, 9, 9, 8, 6, 5, 3, 2]","[1, 1, 1, 1, 1, 5, 10, 14, 14, 13, 11, 11, 11, 11, 11, 12, 11, 11, 11, 9, 7, 6, 4, 3]","[0, 0, 0, 0, 0, 1, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1]"
I,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[14, 9, 7, 8, 15, 51, 112, 153, 150, 135, 123, 120, 120, 119, 122, 125, 122, 117, 114, 99, 80, 60, 43, 27]","[4, 3, 2, 2, 4, 14, 31, 43, 42, 38, 34, 33, 33, 33, 34, 35, 34, 33, 32, 28, 22, 17, 12, 8]","[1, 1, 1, 1, 2, 5, 11, 15, 15, 13, 12, 12, 12, 12, 12, 12, 12, 12, 11, 10, 8, 6, 4, 3]","[9, 6, 5, 5, 10, 32, 71, 96, 95, 85, 77, 75, 75, 75, 77, 79, 77, 74, 72, 63, 50, 38, 27, 17]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
J,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[15, 10, 8, 9, 17, 54, 120, 164, 160, 145, 131, 128, 128, 128, 130, 134, 131, 126, 122, 106, 86, 64, 46, 29]","[4, 2, 2, 2, 4, 13, 28, 39, 38, 34, 31, 30, 30, 30, 31, 32, 31, 30, 29, 25, 20, 15, 11, 7]","[1, 1, 1, 1, 1, 4, 8, 11, 11, 10, 9, 9, 9, 9, 9, 9, 9, 8, 8, 7, 6, 4, 3, 2]","[9, 6, 5, 6, 10, 34, 74, 101, 99, 89, 81, 79, 79, 79, 81, 83, 81, 78, 76, 66, 53, 40, 29, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
